ra,iaa_autoavaliacao,ida_desempenho_academico,ieg_engajamento_atividades,ipp_psicopedagogicos,ian_adequacao_nivel,ips_aspectos_psicossociais,ipv_ponto_virada,inde_indice_desen_educacional,requer_psicologia,atingiu_pv,defasagem,ano_arquivo,risco
RA-1043,10.0,2.5,7.9,7.71,5.0,6.27,7.83,,,,,2023,0
RA-1043,10.0,8.25,7.99,7.29,5.0,7.51,6.55,,,,,2024,0
RA-1044,8.0,6.1,9.7,7.5,5.0,7.52,8.34,,,,,2023,0
RA-1044,7.5,7.0,9.52,7.19,10.0,7.51,7.21,,,,,2024,0
RA-1045,9.5,7.9,9.4,7.71,5.0,7.52,8.28,,,,,2023,0
RA-1046,0.0,6.3,8.5,8.54,10.0,3.77,8.22,,,,,2023,0
RA-1047,10.0,6.9,8.5,8.13,10.0,3.77,7.89,,,,,2023,0
RA-1048,8.5,8.2,9.5,8.54,5.0,3.77,8.5,,,,,2023,1
RA-1048,8.5,6.25,6.83,7.71,10.0,6.26,8.28,,,,,2024,0
RA-1049,10.0,6.3,7.7,8.13,5.0,7.52,7.94,,,,,2023,1
RA-1049,9.5,4.5,8.03,7.66,5.0,7.51,6.75,,,,,2024,0
RA-105,7.9,6.7,8.2,,2.5,5.6,7.42,6.85,Requer avaliação,Não,-3.0,2022,0
RA-1050,9.0,7.2,9.2,8.13,5.0,6.27,8.22,,,,,2023,0
RA-1051,8.5,8.4,8.9,8.75,10.0,6.27,8.61,,,,,2023,0
RA-1052,0.0,5.3,9.0,7.92,10.0,7.52,7.83,,,,,2023,0
RA-1052,5.83,8.25,9.13,8.59,5.0,6.26,8.5,,,,,2024,0
RA-1053,0.0,8.6,9.1,8.96,10.0,6.27,8.62,,,,,2023,0
RA-1054,8.5,6.6,8.6,7.5,5.0,7.52,7.84,,,,,2023,1
RA-1054,9.5,6.25,7.33,7.19,5.0,7.51,6.75,,,,,2024,0
RA-1055,0.0,5.5,7.2,7.29,5.0,7.52,7.28,,,,,2023,0
RA-1055,10.0,5.5,5.8,7.19,5.0,7.51,5.87,,,,,2024,0
RA-1056,8.5,8.1,9.6,7.97,10.0,7.52,8.11,,,,,2023,0
RA-1056,8.5,8.25,9.29,9.17,5.0,7.51,8.34,,,,,2024,0
RA-1057,10.0,6.3,10.0,8.13,10.0,7.52,8.34,,,,,2023,0
RA-1057,10.0,8.0,10.0,8.75,5.0,6.26,8.17,,,,,2024,0
RA-1058,10.0,5.4,8.7,7.08,10.0,3.14,7.62,,,,,2023,0
RA-1058,9.17,7.75,8.1,8.13,5.0,6.88,8.09,,,,,2024,0
RA-1059,10.0,7.6,9.8,7.97,5.0,2.52,8.67,,,,,2023,1
RA-1059,8.0,7.5,10.0,9.06,10.0,6.26,9.23,,,,,2024,0
RA-106,9.2,7.4,8.0,,5.0,9.4,8.38,7.97,Sem limitações,Sim,-1.0,2022,1
RA-106,7.9,7.3,9.1,7.03,10.0,5.0,7.51,7.97,,,,2023,1
RA-106,9.17,5.67,8.76,7.81,10.0,5.64,7.87,7.97,,,,2024,0
RA-1060,9.0,5.7,8.6,7.97,5.0,3.14,8.67,,,,,2023,1
RA-1060,9.59,3.25,6.0,7.81,10.0,6.26,6.16,,,,,2024,0
RA-1061,9.5,9.3,9.7,8.75,5.0,3.14,8.84,,,,,2023,1
RA-1061,8.5,8.5,10.0,8.44,10.0,6.26,8.73,,,,,2024,0
RA-1062,7.4,6.2,7.7,8.59,10.0,3.77,8.5,,,,,2023,0
RA-1062,8.0,7.25,9.05,8.75,5.0,5.63,8.09,,,,,2024,0
RA-1063,9.5,5.9,9.5,6.41,5.0,7.52,7.89,,,,,2023,0
RA-1063,5.25,7.75,9.75,7.81,5.0,7.51,6.11,,,,,2024,0
RA-1064,8.5,8.6,9.8,9.38,5.0,7.52,8.84,,,,,2023,1
RA-1064,9.5,8.5,9.74,8.75,10.0,7.51,8.78,,,,,2024,0
RA-1065,8.5,7.0,9.6,8.44,5.0,7.52,8.84,,,,,2023,0
RA-1065,9.5,9.25,8.82,9.06,10.0,6.26,8.84,,,,,2024,0
RA-1066,8.5,6.2,6.6,8.44,5.0,7.52,8.78,,,,,2023,0
RA-1066,9.5,7.25,8.4,7.5,10.0,6.26,7.39,,,,,2024,0
RA-1067,0.0,5.4,7.9,8.28,5.0,7.52,9.01,,,,,2023,0
RA-1067,10.0,6.75,8.33,8.54,5.0,7.51,8.59,,,,,2024,0
RA-1068,8.5,9.0,9.3,9.17,5.0,6.89,9.28,,,,,2023,0
RA-1068,9.5,9.5,9.07,8.54,10.0,7.51,8.73,,,,,2024,0
RA-1069,9.0,7.1,7.8,8.13,5.0,7.52,8.23,,,,,2023,1
RA-1069,9.0,6.25,7.08,8.13,10.0,7.51,7.75,,,,,2024,0
RA-107,7.5,4.6,6.4,,5.0,7.5,6.5,6.26,Sem limitações,Não,-1.0,2022,0
RA-107,0.0,7.0,8.5,7.34,10.0,5.0,7.59,6.26,,,,2023,1
RA-107,7.5,4.67,7.99,7.5,5.0,7.51,6.96,6.26,,,,2024,0
RA-1070,9.0,5.8,7.8,7.71,5.0,3.14,8.67,,,,,2023,1
RA-1070,9.0,2.25,9.31,6.88,5.0,5.64,6.62,,,,,2024,0
RA-1071,9.0,3.5,8.6,5.63,5.0,7.52,6.4,,,,,2023,0
RA-1071,8.0,4.5,4.19,4.17,5.0,7.51,3.0,,,,,2024,0
RA-1072,9.0,6.7,8.6,8.13,10.0,5.0,8.71,,,,,2023,0
RA-1072,8.75,8.17,5.63,7.97,10.0,8.76,7.55,,,,,2024,0
RA-1073,0.0,6.2,8.8,8.33,5.0,2.52,9.05,,,,,2023,0
RA-1073,9.17,6.5,6.37,6.88,10.0,7.5,5.79,,,,,2024,0
RA-1074,0.0,6.0,9.8,7.08,5.0,2.52,7.88,,,,,2023,0
RA-1075,0.0,5.5,9.6,7.71,5.0,5.0,9.0,,,,,2023,0
RA-1075,7.5,6.0,8.52,7.71,5.0,3.76,7.55,,,,,2024,0
RA-1076,9.0,8.5,9.7,8.33,5.0,2.52,8.88,,,,,2023,1
RA-1076,8.33,6.33,7.78,7.03,10.0,8.13,6.54,,,,,2024,0
RA-1077,0.0,7.3,9.7,8.75,10.0,2.52,8.42,,,,,2023,1
RA-1077,0.0,2.0,7.7,6.41,10.0,6.89,6.37,,,,,2024,0
RA-1078,5.3,6.4,6.8,8.96,5.0,2.52,8.3,,,,,2023,0
RA-1079,9.0,7.6,8.1,7.08,5.0,2.52,7.13,,,,,2023,1
RA-1079,7.5,6.33,4.52,4.22,10.0,2.51,4.16,,,,,2024,0
RA-108,4.6,5.0,7.7,,2.5,5.0,6.13,5.55,Não indicado,Não,-3.0,2022,1
RA-108,5.8,2.9,7.3,4.38,5.0,2.52,5.59,5.55,,,,2023,0
RA-1080,7.9,1.5,10.0,8.54,5.0,5.0,8.13,,,,,2023,0
RA-1081,10.0,6.5,10.0,8.96,5.0,2.52,8.59,,,,,2023,0
RA-1081,6.67,8.83,9.52,9.17,10.0,5.01,8.95,,,,,2024,0
RA-1082,9.5,5.0,9.5,8.75,5.0,2.52,8.42,,,,,2023,1
RA-1082,7.5,3.75,7.57,7.08,5.0,10.0,6.94,,,,,2024,0
RA-1083,6.8,7.5,10.0,8.75,10.0,5.0,8.38,,,,,2023,0
RA-1084,8.4,6.8,10.0,8.75,10.0,2.52,8.38,,,,,2023,1
RA-1084,8.75,3.67,7.71,7.03,10.0,5.63,7.46,,,,,2024,0
RA-1085,0.0,6.7,9.8,8.96,5.0,2.52,8.13,,,,,2023,0
RA-1086,8.5,5.7,9.4,8.75,5.0,2.52,8.76,,,,,2023,0
RA-1087,10.0,5.4,9.5,8.75,5.0,2.52,8.05,,,,,2023,1
RA-1087,7.92,2.67,8.39,7.19,10.0,8.76,6.58,,,,,2024,0
RA-1088,9.5,6.8,9.8,8.75,5.0,2.52,7.92,,,,,2023,0
RA-1089,9.0,7.0,9.5,8.75,10.0,2.52,8.34,,,,,2023,1
RA-1089,9.17,6.83,7.04,7.19,10.0,8.13,7.0,,,,,2024,0
RA-109,8.8,8.4,10.0,,5.0,8.8,8.67,8.51,Sem limitações,Sim,-2.0,2022,1
RA-109,8.3,8.3,9.9,8.75,5.0,7.52,8.59,8.51,,,,2023,0
RA-1090,9.0,9.0,9.6,8.96,5.0,2.52,7.88,,,,,2023,1
RA-1090,9.59,6.33,7.62,7.81,10.0,7.51,7.42,,,,,2024,0
RA-1091,8.5,9.5,9.0,8.96,5.0,2.52,9.17,,,,,2023,0
RA-1092,7.8,6.9,9.8,8.75,5.0,2.52,8.3,,,,,2023,0
RA-1093,7.0,9.2,9.3,8.96,10.0,2.52,8.3,,,,,2023,1
RA-1093,7.5,8.67,7.72,8.91,10.0,8.13,8.88,,,,,2024,0
RA-1094,7.8,8.5,9.5,8.75,10.0,2.52,8.34,,,,,2023,1
RA-1094,9.17,7.33,9.52,8.44,10.0,2.51,8.17,,,,,2024,0
RA-1095,0.0,5.3,9.8,8.75,5.0,2.52,8.01,,,,,2023,1
RA-1095,7.5,2.33,7.85,5.47,10.0,7.51,5.13,,,,,2024,0
RA-1096,9.5,9.6,9.9,8.96,10.0,2.52,8.09,,,,,2023,1
RA-1096,9.17,8.5,9.87,9.06,10.0,8.76,9.09,,,,,2024,0
RA-1097,9.5,5.4,8.6,8.13,5.0,5.0,6.96,,,,,2023,1
RA-1097,10.0,3.0,4.85,6.04,5.0,6.25,5.88,,,,,2024,0
RA-1098,9.5,6.4,9.5,8.13,5.0,2.52,7.92,,,,,2023,1
RA-1098,8.75,3.5,5.82,7.34,10.0,7.51,6.75,,,,,2024,0
RA-1099,9.0,5.2,9.6,8.33,5.0,2.52,8.34,,,,,2023,1
RA-1099,8.33,3.83,8.13,7.81,10.0,10.0,6.62,,,,,2024,0
RA-11,9.2,3.0,4.2,,5.0,5.0,6.39,5.32,Requer avaliação,Não,-1.0,2022,0
RA-110,9.2,6.7,9.7,,10.0,5.6,8.0,8.15,Requer avaliação,Não,0.0,2022,0
RA-110,8.3,7.5,8.6,8.75,10.0,5.0,8.3,8.15,,,,2023,0
RA-110,9.17,8.5,9.7,7.5,10.0,6.26,8.5,8.15,,,,2024,0
RA-1100,10.0,7.1,9.2,8.54,10.0,5.0,8.28,,,,,2023,1
RA-1100,7.5,4.67,7.1,6.72,10.0,7.51,5.62,,,,,2024,0
RA-1101,0.0,5.3,7.2,8.33,10.0,5.0,8.12,,,,,2023,0
RA-1102,9.5,7.5,9.5,7.71,10.0,5.0,7.56,,,,,2023,0
RA-1102,8.75,9.33,9.39,5.94,10.0,8.13,7.07,,,,,2024,0
RA-1103,9.0,5.0,8.7,8.33,10.0,5.0,8.01,,,,,2023,0
RA-1103,8.5,7.25,7.76,7.5,10.0,7.51,7.54,,,,,2024,0
RA-1104,5.7,6.4,10.0,8.54,5.0,2.52,9.06,,,,,2023,0
RA-1105,0.0,6.0,9.0,8.13,5.0,2.52,8.67,,,,,2023,0
RA-1106,8.5,5.1,9.3,8.33,5.0,5.0,8.0,,,,,2023,1
RA-1106,8.33,0.0,5.43,7.66,10.0,7.51,7.5,,,,,2024,0
RA-1107,9.0,7.5,9.4,8.96,5.0,5.0,8.78,,,,,2023,1
RA-1107,8.75,2.5,6.2,7.5,10.0,2.51,6.79,,,,,2024,0
RA-1108,0.0,4.7,9.3,8.54,5.0,5.0,8.28,,,,,2023,1
RA-1108,9.17,3.67,3.75,7.19,10.0,8.13,5.42,,,,,2024,0
RA-1109,10.0,3.4,6.4,7.5,5.0,5.0,7.84,,,,,2023,0
RA-111,7.5,8.0,9.4,,10.0,8.1,8.67,8.65,Sem limitações,Sim,1.0,2022,1
RA-111,7.5,6.0,8.7,7.66,10.0,5.0,8.09,8.65,,,,2023,0
RA-111,9.17,8.33,9.49,8.13,10.0,6.26,8.74,8.65,,,,2024,0
RA-1110,4.6,6.8,9.2,8.54,5.0,5.0,8.73,,,,,2023,0
RA-1111,0.0,5.4,8.9,8.13,10.0,2.52,8.17,,,,,2023,1
RA-1111,6.25,5.0,4.6,6.56,10.0,7.5,5.82,,,,,2024,0
RA-1112,9.5,6.3,7.9,8.33,5.0,2.52,8.62,,,,,2023,1
RA-1112,9.59,4.0,9.03,5.38,10.0,8.14,4.71,,,,,2024,0
RA-1113,0.0,5.0,6.0,7.5,5.0,7.52,7.17,,,,,2023,0
RA-1114,8.5,4.9,9.8,8.13,10.0,2.52,8.56,,,,,2023,0
RA-1114,8.75,5.0,9.53,8.38,10.0,2.51,7.84,,,,,2024,0
RA-1115,0.0,4.0,8.3,7.5,10.0,7.52,7.56,,,,,2023,0
RA-1115,8.0,6.25,4.27,7.5,10.0,7.51,5.83,,,,,2024,0
RA-1116,9.5,4.9,9.2,7.08,5.0,5.0,7.39,,,,,2023,1
RA-1116,0.0,2.33,3.36,5.13,5.0,6.26,5.07,,,,,2024,0
RA-1117,9.0,7.3,9.6,7.71,10.0,7.52,7.95,,,,,2023,1
RA-1117,8.75,5.67,8.31,8.13,10.0,7.51,6.83,,,,,2024,0
RA-1118,5.3,6.0,8.8,7.71,5.0,7.52,8.28,,,,,2023,1
RA-1118,7.08,3.83,7.85,6.75,10.0,9.38,6.87,,,,,2024,0
RA-1119,7.3,5.9,9.7,7.71,5.0,3.77,8.45,,,,,2023,1
RA-1119,9.59,5.67,8.72,7.63,5.0,7.51,7.7,,,,,2024,0
RA-112,7.9,8.5,7.8,,5.0,6.3,8.83,7.84,Sem limitações,Sim,-1.0,2022,1
RA-112,6.7,7.4,8.1,7.97,5.0,5.0,7.92,7.84,,,,2023,0
RA-112,7.08,8.0,7.98,7.97,10.0,7.51,8.0,7.84,,,,2024,0
RA-1120,9.5,8.3,9.6,8.96,10.0,7.52,9.68,,,,,2023,0
RA-1121,0.0,8.0,9.9,8.75,10.0,6.26,9.84,,,,,2023,1
RA-1121,9.59,6.67,10.0,7.08,10.0,7.51,8.28,,,,,2024,0
RA-1122,0.0,6.9,9.3,7.29,10.0,6.89,8.62,,,,,2023,1
RA-1122,8.75,5.33,9.86,7.08,10.0,7.51,7.22,,,,,2024,0
RA-1123,7.3,5.3,8.9,7.08,5.0,7.52,7.11,,,,,2023,0
RA-1124,9.5,3.0,8.0,7.08,5.0,7.52,7.79,,,,,2023,0
RA-1125,4.7,4.0,7.9,6.67,10.0,7.52,6.95,,,,,2023,0
RA-1126,0.0,,5.2,7.29,5.0,3.77,7.06,,,,,2023,0
RA-1127,8.5,6.9,9.9,8.13,10.0,5.02,9.01,,,,,2023,1
RA-1127,9.17,5.83,10.0,8.13,10.0,7.51,7.67,,,,,2024,0
RA-1128,9.5,3.5,7.3,7.92,5.0,5.02,7.5,,,,,2023,0
RA-1129,0.0,7.8,9.2,7.92,10.0,6.27,7.5,,,,,2023,1
RA-1129,9.17,6.83,7.14,6.88,10.0,8.13,5.75,,,,,2024,0
RA-113,0.0,3.7,0.0,,5.0,5.0,3.79,3.03,Não indicado,Não,-1.0,2022,0
RA-113,8.75,6.67,7.06,7.5,5.0,7.51,7.11,3.03,,,,2024,0
RA-1130,8.5,7.3,8.4,7.71,10.0,7.52,7.5,,,,,2023,1
RA-1130,8.75,4.33,6.28,6.88,10.0,8.13,5.33,,,,,2024,0
RA-1131,7.9,9.1,9.9,8.75,5.0,5.02,9.29,,,,,2023,1
RA-1131,8.33,8.33,9.28,7.29,10.0,6.26,7.89,,,,,2024,0
RA-1132,10.0,5.8,6.3,7.92,5.0,6.27,7.5,,,,,2023,0
RA-1133,9.5,6.5,10.0,8.54,10.0,6.27,9.34,,,,,2023,1
RA-1133,9.17,4.5,9.84,8.13,10.0,8.75,8.83,,,,,2024,0
RA-1134,8.0,6.8,9.7,7.92,10.0,3.76,7.56,,,,,2023,1
RA-1134,8.75,6.0,8.91,7.71,10.0,7.51,6.88,,,,,2024,0
RA-1135,0.0,7.2,9.4,8.13,10.0,7.52,7.9,,,,,2023,0
RA-1136,6.8,6.6,8.1,8.33,5.0,2.52,7.72,,,,,2023,1
RA-1136,8.75,1.67,4.55,7.5,5.0,8.14,6.38,,,,,2024,0
RA-1137,9.5,6.5,9.8,9.38,10.0,6.27,9.84,,,,,2023,1
RA-1137,8.33,3.5,7.59,8.28,10.0,8.13,7.46,,,,,2024,0
RA-1138,9.0,9.3,9.2,9.17,5.0,6.27,8.57,,,,,2023,0
RA-1139,8.5,5.3,9.1,8.13,10.0,5.64,7.79,,,,,2023,1
RA-1139,8.33,4.67,6.15,7.5,10.0,7.51,7.04,,,,,2024,0
RA-114,7.9,5.3,6.3,,5.0,7.5,5.0,5.89,Sem limitações,Não,-2.0,2022,0
RA-114,0.0,5.6,6.0,7.5,5.0,3.14,7.26,5.89,,,,2023,0
RA-1140,4.7,7.3,8.7,7.71,10.0,7.52,7.62,,,,,2023,1
RA-1140,6.83,7.0,6.11,8.13,10.0,7.51,7.39,,,,,2024,0
RA-1141,9.0,5.9,8.8,7.71,5.0,7.52,7.11,,,,,2023,1
RA-1141,9.59,4.17,6.19,6.56,10.0,7.51,6.78,,,,,2024,0
RA-1142,9.0,10.0,10.0,8.54,10.0,7.52,8.34,,,,,2023,1
RA-1142,8.33,8.5,9.13,8.13,10.0,7.51,7.34,,,,,2024,0
RA-1143,8.8,5.3,7.0,7.5,5.0,6.26,6.21,,,,,2023,1
RA-1143,9.59,3.17,5.2,7.03,2.5,9.38,6.79,,,,,2024,0
RA-1144,0.0,8.0,9.4,8.28,10.0,5.02,8.0,,,,,2023,0
RA-1145,0.0,7.8,9.5,8.59,10.0,4.39,8.63,,,,,2023,0
RA-1146,9.6,3.7,8.8,7.19,5.0,6.26,6.97,,,,,2023,1
RA-1146,10.0,2.0,5.02,6.25,5.0,6.88,5.88,,,,,2024,0
RA-1147,8.3,6.7,8.3,7.19,5.0,6.26,7.01,,,,,2023,1
RA-1147,8.75,3.17,6.13,6.25,5.0,8.76,5.5,,,,,2024,0
RA-1148,7.9,5.7,8.6,7.5,10.0,3.77,7.21,,,,,2023,0
RA-1149,8.3,7.2,9.8,7.97,5.0,2.52,8.17,,,,,2023,1
RA-1149,8.33,6.0,10.0,8.63,5.0,10.0,8.71,,,,,2024,0
RA-115,8.3,3.8,6.8,,5.0,6.3,5.58,5.89,Requer avaliação,Não,-2.0,2022,0
RA-115,8.8,4.2,7.1,7.34,5.0,5.0,7.22,5.89,,,,2023,1
RA-115,7.92,4.17,4.16,6.75,5.0,6.26,5.73,5.89,,,,2024,0
RA-1150,9.2,6.7,9.8,7.97,2.5,2.52,7.84,,,,,2023,0
RA-1150,8.33,6.83,6.48,7.66,5.0,7.51,7.95,,,,,2024,0
RA-1151,7.5,8.3,9.5,7.66,10.0,2.52,7.55,,,,,2023,0
RA-1151,7.5,9.0,9.72,8.13,10.0,5.64,9.39,,,,,2024,0
RA-1152,0.0,6.8,9.4,7.81,5.0,5.0,7.59,,,,,2023,0
RA-1153,7.9,7.2,10.0,7.66,5.0,7.52,8.63,,,,,2023,0
RA-1153,8.75,8.5,9.7,8.75,5.0,5.64,9.07,,,,,2024,0
RA-1154,9.6,5.1,9.3,7.66,10.0,5.63,7.67,,,,,2023,0
RA-1154,7.92,8.0,9.2,7.34,5.0,7.51,6.75,,,,,2024,0
RA-1155,9.2,8.0,9.2,7.5,5.0,5.63,8.29,,,,,2023,1
RA-1155,8.33,4.67,8.89,8.0,5.0,5.01,8.87,,,,,2024,0
RA-1156,8.3,5.3,9.2,7.97,10.0,2.52,7.79,,,,,2023,1
RA-1156,7.5,2.0,7.82,7.13,10.0,7.51,7.5,,,,,2024,0
RA-1157,9.2,5.7,8.8,7.5,5.0,6.26,7.0,,,,,2023,0
RA-1157,9.59,7.0,9.08,7.97,5.0,7.51,8.47,,,,,2024,0
RA-1158,7.5,4.3,8.6,7.5,5.0,2.52,7.34,,,,,2023,0
RA-1159,5.8,3.1,6.6,7.19,10.0,2.52,7.13,,,,,2023,0
